SIREN,Nom entreprise,Statut,Dénomination,Nom,Prénom,Sexe,Code NAF,Libellé code NAF,Domaine d'activité,Conventions collectives,Date de création,Entreprise employeuse,Entreprise cessée,Date de cessation,Forme juridique,Tranche d'effectif,Année de validité de l'effectif,Capital social,Chiffre d'affaires,Résultat,Effectif,Année de validité des finances,SIRET du siège social,Adresse du siège social,Code postal du siège social,Ville du siège social,Pays du siège social,Nombre total de dirigeants,Dirigeant 1 - Statut,Dirigeant 1 - Qualité,Dirigeant 1 - Nom,Dirigeant 1 - Prénom,Dirigeant 1 - Date de naissance,Dirigeant 1 - Date de naissance (MM/AAAA),Dirigeant 1 - Âge,Dirigeant 1 - Dénomination,Dirigeant 1 - SIREN,Dirigeant 2 - Statut,Dirigeant 2 - Qualité,Dirigeant 2 - Nom,Dirigeant 2 - Prénom,Dirigeant 2 - Date de naissance,Dirigeant 2 - Date de naissance (MM/AAAA),Dirigeant 2 - Âge,Dirigeant 2 - Dénomination,Dirigeant 2 - SIREN,Dirigeant 3 - Statut,Dirigeant 3 - Qualité,Dirigeant 3 - Nom,Dirigeant 3 - Prénom,Dirigeant 3 - Date de naissance,Dirigeant 3 - Date de naissance (MM/AAAA),Dirigeant 3 - Âge,Dirigeant 3 - Dénomination,Dirigeant 3 - SIREN,Dirigeant 4 - Statut,Dirigeant 4 - Qualité,Dirigeant 4 - Nom,Dirigeant 4 - Prénom,Dirigeant 4 - Date de naissance,Dirigeant 4 - Date de naissance (MM/AAAA),Dirigeant 4 - Âge,Dirigeant 4 - Dénomination,Dirigeant 4 - SIREN,Dirigeant 5 - Statut,Dirigeant 5 - Qualité,Dirigeant 5 - Nom,Dirigeant 5 - Prénom,Dirigeant 5 - Date de naissance,Dirigeant 5 - Date de naissance (MM/AAAA),Dirigeant 5 - Âge,Dirigeant 5 - Dénomination,Dirigeant 5 - SIREN,Lien
576850697,SOCIETE L.D.C.,Personne morale,SOCIETE L.D.C.,,,,70.10Z,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,"Convention collective nationale des industries de la transformation des volailles (abattoirs, ateliers de découpe et centres de conditionnement de volailles, commerce de gros de volailles) (IDCC 1938)",01/01/1981,Oui,Non,,SA à directoire (s.a.i.),Entre 20 et 49 salariés,2023,7054173.2,19486000,60042000,,2025,xxxx,xxxx,xxxx,xxxx,xxxx,36,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,https://www.pappers.fr/entreprise/societe-ldc-576850697
429707292,TERRENA,Personne morale,TERRENA,,,,46.90Z,Commerce de gros (commerce interentreprises) non spécialisé,"Commerce de gros, à l'exception des automobiles et des motocycles","Convention collective nationale des coopératives et SICA de céréales, de meunerie, d'approvisionnement et d'alimentation du bétail et d'oléagineux (IDCC 7002)",01/01/2000,Oui,Non,,Société coopérative agricole,Entre 1 000 et 1 999 salariés,2023,1,2087850778,20703339,,2024,xxxx,xxxx,xxxx,xxxx,xxxx,67,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,https://www.pappers.fr/entreprise/terrena-429707292
347538043,AS 24,Personne morale,AS 24,,,,46.71Z,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,"Commerce de gros, à l'exception des automobiles et des motocycles","Convention collective nationale des entreprises du négoce et de distribution de combustibles solides, liquides, gazeux et produits pétroliers (IDCC 1408)",11/07/1988,Oui,Non,,"SASU, société par actions simplifiée unipersonnelle",Entre 100 et 199 salariés,2022,16931200,3426234583,61875777,,2024,xxxx,xxxx,xxxx,xxxx,xxxx,6,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,https://www.pappers.fr/entreprise/as-24-347538043
331142554,GROUPE LACTALIS,Personne morale,GROUPE LACTALIS,,,,46.33Z,"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles","Commerce de gros, à l'exception des automobiles et des motocycles",,01/01/1985,Non,Non,,SA à conseil d'administration (s.a.i.),0 salarié,2026,340975968,3693908428,233742860,,2024,xxxx,xxxx,xxxx,xxxx,xxxx,16,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,https://www.pappers.fr/entreprise/groupe-lactalis-331142554
320651649,GROUPE DUBREUIL,Personne morale,GROUPE DUBREUIL,,,,70.10Z,Activités des sièges sociaux,Activités des sièges sociaux ; conseil de gestion,Convention collective nationale du personnel des prestataires de services dans le domaine du secteur tertiaire (IDCC 2098),12/12/1980,Oui,Non,,SA à conseil d'administration (s.a.i.),Au moins 1 salarié,2022,300000000,21670679,30375859,,2024,xxxx,xxxx,xxxx,xxxx,xxxx,18,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,https://www.pappers.fr/entreprise/groupe-dubreuil-320651649
562053173,ATLANTIC SOC FRANCAISE DEVELOP THERMIQUE,Personne morale,ATLANTIC SOC FRANCAISE DEVELOP THERMIQUE,,,,46.43Z,Commerce de gros (commerce interentreprises) d'appareils électroménagers,"Commerce de gros, à l'exception des automobiles et des motocycles",Convention collective nationale de la métallurgie (IDCC 3248),01/01/1956,Oui,Non,,SA à directoire (s.a.i.),Entre 1 et 2 salariés,2023,14074444.25,10023466,94302467,2,2024,xxxx,xxxx,xxxx,xxxx,xxxx,20,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,https://www.pappers.fr/entreprise/atlantic-soc-francaise-develop-thermique-562053173
857802508,MANITOU BF,Personne morale,MANITOU BF,,,,28.22Z,Fabrication de matériel de levage et de manutention,Fabrication de machines et équipements n.c.a.,Convention collective nationale de la métallurgie (IDCC 3248),01/01/1957,Oui,Non,,SA à conseil d'administration (s.a.i.),Entre 2 000 et 4 999 salariés,2023,39668399,1852263000,105239000,2965,2024,xxxx,xxxx,xxxx,xxxx,xxxx,26,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,https://www.pappers.fr/entreprise/manitou-bf-857802508
439067612,CHANTIERS DE L'ATLANTIQUE,Personne morale,CHANTIERS DE L'ATLANTIQUE,,,,30.11Z,Construction de navires et de structures flottantes,Fabrication d'autres matériels de transport,"Convention collective des personnels navigants officiers des entreprises de transport et services maritimes (IDCC 3223),Convention collective nationale de la métallurgie (IDCC 3248)",25/07/2001,Oui,Non,,SA à conseil d'administration (s.a.i.),Entre 2 000 et 4 999 salariés,2022,142901920,2774900252,109510664,,2024,xxxx,xxxx,xxxx,xxxx,xxxx,26,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,https://www.pappers.fr/entreprise/chantiers-de-latlantique-439067612
908223852,ROX INVEST SA,Personne morale,ROX INVEST SA,,,,64.20Z,Activités des sociétés holding,"Activités des services financiers, hors assurance et caisses de retraite","Convention collective nationale des activités de production des eaux embouteillées, des boissons rafraîchissantes sans alcool et de bière (IDCC 1513)",15/12/2021,Oui,Non,,SA à conseil d'administration (s.a.i.),Entre 1 et 2 salariés,2022,4201230,0,35380586,2,2024,xxxx,xxxx,xxxx,xxxx,xxxx,7,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,https://www.pappers.fr/entreprise/rox-invest-sa-908223852
493789135,RCM,Personne morale,RCM,,,,82.11Z,Services administratifs combinés de bureau,Activités administratives et autres activités de soutien aux entreprises,"Convention collective nationale des services de l'automobile (commerce et réparation de l'automobile, du cycle et du motocycle, activités connexes, contrôle technique automobile, formation des conducteurs auto-écoles CNPA ) (IDCC 1090)",21/12/2006,Oui,Non,,"SASU, société par actions simplifiée unipersonnelle",Entre 10 et 19 salariés,2022,240000000,31618244,10010135,,2024,xxxx,xxxx,xxxx,xxxx,xxxx,7,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,xxxx,https://www.pappers.fr/entreprise/rcm-493789135
